frame,point_id,x,y,u,v,displacement
105,3,311.63193,152.15714,53.631927,8.157135,54.248707
106,0,161.10777,228.39075,-37.892227,74.39075,83.48535
106,1,247.07915,172.48009,19.079147,32.480087,37.669216
106,2,290.8124,279.8894,52.81241,111.889404,123.72707
106,3,311.71066,153.5273,53.710663,9.527298,54.549103
107,0,161.27573,229.45084,-37.724274,75.450836,84.35609
107,1,247.34526,173.44089,19.34526,33.440887,38.633305
107,2,291.2329,280.5837,53.23291,112.58371,124.53447
107,3,312.00143,154.56058,54.001434,10.560577,55.02437
108,0,161.27303,230.26431,-37.726974,76.26431,85.08566
108,1,247.55011,174.60199,19.55011,34.60199,39.74298
108,2,291.51294,282.024,53.51294,114.02399,125.95676
108,3,312.33023,155.789,54.33023,11.789001,55.594555
109,0,161.23177,231.23987,-37.768234,77.23987,85.97928
109,1,247.69072,175.43558,19.69072,35.435577,40.538925
109,2,292.00156,283.01306,54.001556,115.01306,127.059715
109,3,312.64288,156.64548,54.642883,12.645477,56.087013
110,0,161.7554,231.95184,-37.2446,77.95184,86.39242
110,1,248.56746,176.26904,20.56746,36.269043,41.69489
110,2,292.9946,283.97205,54.9946,115.972046,128.35078
110,3,313.17856,157.40497,55.17856,13.404968,56.783504
111,0,163.20415,232.00996,-35.795853,78.009964,85.830635
111,1,250.1001,176.25716,22.100098,36.257156,42.461697
111,2,294.9149,283.9087,56.914886,115.90869,129.12834
111,3,314.3579,157.33302,56.35791,13.333023,57.91359
112,0,164.2749,231.29108,-34.725098,77.29108,84.73337
112,1,251.37907,175.33878,23.379074,35.338776,42.37228
112,2,296.42316,282.67618,58.423157,114.67618,128.70078
112,3,315.3551,156.75676,57.355103,12.75676,58.756638
113,0,165.3689,230.69084,-33.631104,76.69084,83.74089
113,1,252.79979,174.77849,24.79979,34.77849,42.71502
113,2,297.9449,281.73343,59.944885,113.73343,128.56392
113,3,316.0746,156.4104,58.074585,12.4104,59.38582
114,0,167.95607,230.35101,-31.04393,76.35101,82.42089
114,1,255.38219,174.32932,27.382187,34.329315,43.912254
114,2,301.63464,281.19833,63.634644,113.19833,129.8585
114,3,317.27737,155.5831,59.277374,11.583099,60.39847
