frame,L_pixels,strain,radius_norm,pressure_Pa,stress_Pa,force_N
217,85.63293,-0.48332274,0.51667726,258.33862,222462.81,216.6596
218,84.35371,-0.49104106,0.50895894,254.47946,215865.98,207.09428
219,82.993484,-0.49924815,0.50075185,250.37593,208960.34,197.23665
220,81.502525,-0.50824404,0.49175596,245.87798,201519.92,186.79652
221,80.18649,-0.5161845,0.48381552,241.90776,195064.53,177.89316
222,79.09309,-0.52278167,0.4772183,238.60915,189781.08,170.71478
223,77.70467,-0.53115886,0.46884114,234.42056,183176.67,161.88141
224,76.042404,-0.54118836,0.4588116,229.4058,175423.4,151.7131
225,74.66131,-0.5495214,0.4504786,225.2393,169109.14,143.59602
226,73.22693,-0.5581759,0.44182408,220.91203,162673.75,135.47777
227,71.57357,-0.56815165,0.43184835,215.92418,155410.83,126.506744
228,70.08346,-0.5771425,0.42285755,211.42877,149007.08,118.76874
229,68.61242,-0.58601815,0.41398185,206.99092,142817.47,111.44583
230,67.2735,-0.5940967,0.4059033,202.95166,137297.92,105.04797
231,65.9234,-0.6022427,0.39775732,198.87866,131842.4,98.849495
232,64.39167,-0.6114846,0.3885154,194.2577,125786.85,92.11804
233,62.605007,-0.6222646,0.37773535,188.86768,118903.32,84.66088
234,61.10385,-0.6313221,0.36867794,184.33897,113269.52,78.715706
235,59.726486,-0.6396326,0.36036742,180.18372,108220.56,73.511696
236,58.669567,-0.6460096,0.35399038,176.9952,104424.32,69.67777
237,58.39158,-0.6476869,0.3523131,176.15656,103437.1,68.69202
238,58.61357,-0.64634746,0.3536525,176.82625,104225.07,69.47845
239,58.18905,-0.6489089,0.35109112,175.54556,102720.81,67.97973
240,57.45981,-0.65330887,0.34669113,173.34557,100162.28,65.455795
241,56.402813,-0.6596863,0.3403136,170.1568,96511.12,61.909573
242,55.259724,-0.66658336,0.33341664,166.70831,92638.87,58.22127
243,54.352043,-0.67205995,0.32794005,163.97002,89620.555,55.399166
244,53.553364,-0.6768789,0.3231211,161.56055,87006.03,52.992672
245,52.595566,-0.6826579,0.3173421,158.67105,83921.67,50.199917
246,51.930183,-0.68667257,0.31332743,156.66371,81811.73,48.318687
247,51.350494,-0.69017017,0.3098298,154.9149,79995.42,46.71856
248,50.248318,-0.6968203,0.30317968,151.58984,76598.266,43.774395
249,49.70477,-0.7000999,0.2999001,149.95006,74950.06,42.369152
250,49.06113,-0.70398337,0.29601663,148.00832,73021.54,40.744427
251,48.762417,-0.7057857,0.2942143,147.10715,72135.05,40.004723
252,48.362423,-0.7081991,0.2918009,145.90044,70956.45,39.028305
253,48.198193,-0.70919,0.29081,145.405,70475.375,38.63206
254,47.46091,-0.71363854,0.28636152,143.18076,68335.76,36.886192
255,47.009453,-0.7163624,0.28363758,141.81879,67041.9,35.843567
256,46.43703,-0.7198162,0.2801838,140.09189,65419.125,34.550068
257,46.046783,-0.7221708,0.2778292,138.9146,64324.22,33.686317
258,45.813705,-0.72357714,0.2764229,138.21144,63674.676,33.177364
259,45.695946,-0.7242876,0.27571237,137.85619,63347.758,32.922184
260,45.673977,-0.7244202,0.2755798,137.7899,63286.855,32.87472
261,45.800686,-0.72365564,0.27634433,138.17216,63638.49,33.149086
262,45.84534,-0.7233863,0.27661374,138.30687,63762.63,33.24613
263,45.841213,-0.72341114,0.27658886,138.29443,63751.16,33.237164
264,46.459892,-0.7196783,0.28032172,140.16086,65483.547,34.60112
265,46.562847,-0.7190571,0.28094292,140.47147,65774.1,34.83166
266,46.57368,-0.7189917,0.2810083,140.50415,65804.72,34.855984
267,46.495117,-0.71946573,0.28053427,140.26714,65582.9,34.679886
268,46.37204,-0.72020835,0.27979165,139.89583,65236.14,34.405205
269,46.15808,-0.72149926,0.2785007,139.25035,64635.535,33.931168
270,46.172592,-0.7214117,0.27858827,139.29413,64676.18,33.96318
271,46.1936,-0.721285,0.278715,139.35751,64735.047,34.009563
272,45.913475,-0.72297513,0.27702487,138.51244,63952.31,33.394592
273,45.946346,-0.7227768,0.2772232,138.6116,64043.918,33.46637
274,45.93734,-0.72283113,0.27716884,138.58443,64018.805,33.446686
275,45.92714,-0.7228927,0.2771073,138.55365,63990.375,33.42441
276,45.934486,-0.72284836,0.2771516,138.5758,64010.848,33.440453
277,45.98547,-0.72254074,0.27745923,138.72961,64153.02,33.55192
278,45.858658,-0.7233059,0.27669412,138.34706,63799.695,33.275124
279,45.75842,-0.7239107,0.2760893,138.04466,63521.09,33.0574
280,45.959717,-0.7226961,0.27730384,138.65192,64081.184,33.495583
281,45.951557,-0.7227454,0.27725464,138.62732,64058.44,33.477757
282,45.69788,-0.724276,0.27572402,137.86201,63353.11,32.926357
283,45.53939,-0.72523224,0.27476776,137.38388,62914.434,32.58496
284,45.522133,-0.7253364,0.27466363,137.33182,62866.754,32.547928
285,45.594437,-0.7249001,0.2750999,137.54996,63066.633,32.703274
286,45.621933,-0.7247342,0.27526578,137.63289,63142.703,32.762463
287,45.35678,-0.72633404,0.27366596,136.83298,62410.88,32.19454
